Region,Product_Category,Campaign_Type,Product_Age_Months,Product_Price,Competitor_Price_Index,Advertising_Expenditure,Discount_Percentage,Campaign_Engagement_Score,Inventory_Level,Num_Reviews,Avg_Customer_Rating,Return_Rate,Length_Product_Description,Popularity,Sales
North,Mobile,Search Ad,5,208.39,1.064,444.42,33.46,31.48,617,255,3.86,3.391,212,Low,12146.22
South,Tablet,Email,8,2000.0,0.97,568.33,21.96,34.0,206,610,4.03,2.173,250,Moderate,16097.97
West,Tablet,Social Media,32,1404.43,1.087,561.79,29.33,51.26,454,425,3.99,2.014,172,High,19449.47
North,Tablet,Social Media,7,1770.22,1.025,747.02,22.06,40.69,916,75,4.09,3.105,312,Very Low,18473.73
South,Tablet,Search Ad,10,1537.82,1.006,610.16,30.41,60.27,652,118,3.93,2.545,201,Moderate,27516.29
West,Mobile,Social Media,9,248.35,0.78,572.43,29.15,54.39,1035,293,3.86,3.593,255,Moderate,24060.37
West,Tablet,Influencer,17,2000.0,0.935,730.06,27.2,87.65,160,321,4.0,2.42,228,Very High,37395.37
East,Tablet,Email,6,897.9,0.878,550.31,26.42,45.22,50,467,3.92,3.051,288,Moderate,23758.39
East,Mobile,Social Media,15,305.71,1.05,613.51,34.04,62.72,937,296,3.92,3.056,285,Very High,30110.28
East,Mobile,Social Media,5,175.94,1.008,757.0,22.43,47.41,1151,439,3.89,2.803,279,Low,29569.29
South,Mobile,Search Ad,3,945.86,0.914,756.71,30.02,40.25,364,2004,4.28,2.68,176,Very High,34590.44
South,Tablet,Social Media,5,415.86,1.024,584.56,20.97,58.39,893,659,4.2,3.341,236,High,30336.59
North,Tablet,Search Ad,6,660.74,0.886,592.95,33.06,34.89,1085,395,3.98,2.888,347,Moderate,24287.21
West,Mobile,Influencer,13,175.14,0.916,597.33,30.48,65.92,859,983,4.01,3.092,227,Very High,33208.73
East,Mobile,Influencer,12,920.24,0.943,509.18,23.17,73.75,1121,1506,4.1,1.968,313,Very High,28538.22
South,Mobile,Influencer,23,678.01,1.043,740.81,30.84,76.43,915,552,3.81,2.409,247,High,35255.06
East,Mobile,Influencer,6,1045.49,1.112,820.0,21.18,72.41,784,122,4.04,2.376,229,High,37024.2
West,Tablet,Search Ad,11,932.44,0.953,578.04,32.98,51.91,978,862,3.95,2.595,260,Very High,22151.85
North,Mobile,Influencer,8,887.25,1.106,597.18,42.0,55.8,1415,657,4.2,2.906,196,Very High,31540.86
East,Mobile,Social Media,26,1109.32,1.004,610.58,21.78,50.25,698,297,3.8,2.749,304,Moderate,18925.32
East,Mobile,Social Media,8,1978.19,1.019,658.32,22.3,46.68,835,827,3.95,1.948,195,Very High,23025.68
East,Tablet,Social Media,22,865.18,0.995,536.19,31.3,33.95,453,432,3.93,1.792,282,High,20299.06
North,Mobile,Social Media,2,1888.22,0.984,612.86,28.27,54.11,905,93,4.0,2.407,315,Low,20903.82
West,Tablet,Social Media,8,639.52,1.035,703.26,25.89,71.46,695,254,4.23,2.309,274,Very High,40000.0
West,Mobile,Influencer,15,155.8,1.059,656.62,21.51,40.98,1196,328,3.78,3.428,213,Low,20649.16
East,Mobile,Social Media,8,487.42,0.929,720.35,31.06,77.45,1272,339,4.0,2.142,260,Very High,40000.0
East,Mobile,Email,7,1061.4,0.985,630.53,33.7,62.79,1089,287,3.82,2.292,202,High,26458.94
West,Mobile,Search Ad,17,699.0,1.134,521.26,42.0,53.54,1164,399,4.08,2.753,235,Very High,26685.67
East,Mobile,Email,15,1875.18,1.014,573.17,37.24,50.65,656,289,3.88,3.201,216,Moderate,22118.76
North,Tablet,Email,8,989.09,1.023,619.63,21.45,40.63,463,510,3.95,1.998,201,High,23378.54
East,Tablet,Social Media,13,2000.0,1.093,562.19,31.28,52.76,867,117,3.93,2.43,287,Low,15750.98
East,Tablet,Social Media,16,843.03,0.96,526.36,32.34,44.87,746,1054,4.05,3.004,309,Very High,28230.26
South,Mobile,Social Media,10,715.68,0.997,528.37,26.36,49.73,1440,511,3.97,2.998,313,Moderate,17909.29
West,Tablet,Search Ad,9,2000.0,1.065,678.26,34.52,55.17,183,412,3.87,2.417,263,Moderate,27466.92
West,Mobile,Search Ad,10,1437.34,1.099,595.32,35.82,74.44,1040,233,4.03,3.035,339,Moderate,33907.39
West,Mobile,Social Media,17,933.59,0.811,723.13,37.25,68.48,1035,1189,4.02,2.652,206,Very High,39379.16
East,Mobile,Social Media,7,1341.72,0.941,565.8,33.27,50.21,639,44,4.03,2.86,328,Moderate,24657.15
North,Mobile,Social Media,3,1618.14,0.92,447.01,29.97,45.38,579,18,3.92,2.46,304,Low,13005.45
West,Tablet,Search Ad,9,510.54,0.99,593.78,24.93,37.59,642,604,3.84,2.864,250,Low,19668.07
West,Mobile,Email,10,1605.89,0.926,745.13,23.33,42.09,384,456,4.25,2.067,262,Very High,36127.46
North,Mobile,Email,1,1490.29,1.053,613.55,31.78,57.51,1283,61,4.15,2.353,312,Moderate,26092.47
West,Mobile,Search Ad,12,870.53,1.014,502.38,28.14,37.22,1643,437,4.24,2.378,289,High,21964.76
West,Mobile,Social Media,25,79.26,1.071,479.8,30.46,40.25,761,553,3.93,3.248,264,Moderate,19179.03
East,Mobile,Email,4,681.43,1.076,688.82,36.83,42.77,675,298,3.84,3.604,220,High,24754.74
East,Mobile,Social Media,6,319.32,1.054,550.43,35.42,43.37,480,365,4.05,4.011,191,High,24757.58
South,Tablet,Influencer,36,661.3,0.973,780.89,26.8,79.46,422,1892,4.36,2.262,255,Very High,40000.0
North,Tablet,Influencer,11,892.27,1.008,714.96,27.43,63.87,569,1396,4.15,3.063,177,Very High,34444.45
South,Mobile,Search Ad,5,1919.37,0.963,573.66,26.73,42.79,1211,1140,3.79,2.409,293,Very High,18159.73
West,Mobile,Social Media,16,74.79,0.891,703.02,29.45,58.42,1786,455,3.88,3.374,138,High,29522.45
North,Mobile,Search Ad,5,1949.38,1.076,561.97,20.07,46.89,650,127,3.98,2.424,267,Moderate,10833.97
South,Tablet,Influencer,5,1086.06,0.993,551.11,20.1,42.87,478,330,3.87,2.583,231,Moderate,16724.38
South,Mobile,Influencer,12,557.12,0.88,585.92,29.57,38.74,521,457,3.79,3.728,221,High,21950.94
East,Mobile,Social Media,17,1781.96,1.043,708.7,34.99,77.25,991,268,4.0,2.515,231,High,35543.85
West,Mobile,Influencer,4,1118.99,0.982,758.66,29.1,77.29,960,288,3.64,2.675,69,Moderate,29871.81
South,Mobile,Email,9,821.21,0.835,564.38,32.98,48.7,889,420,3.9,2.37,221,High,26122.64
South,Mobile,Social Media,6,702.0,0.89,473.98,30.07,59.86,731,767,3.99,2.388,194,Very High,27210.93
West,Tablet,Search Ad,13,468.96,0.944,478.78,35.22,69.45,1134,272,4.05,2.117,195,Moderate,29061.48
East,Mobile,Social Media,3,1339.85,1.017,552.07,35.97,46.11,1082,331,4.02,2.714,442,Moderate,24039.58
South,Mobile,Influencer,12,611.65,1.063,552.94,28.86,40.56,1069,352,3.99,2.729,162,Low,14191.98
East,Tablet,Email,22,1177.35,1.06,625.14,37.38,56.36,847,263,4.08,2.712,273,High,28890.38
North,Tablet,Search Ad,15,1336.78,1.048,777.46,31.74,37.96,685,246,3.91,2.709,199,Very Low,23523.7
North,Mobile,Influencer,12,220.95,0.997,711.52,39.68,65.78,653,201,3.82,3.077,191,Very High,37253.22
East,Mobile,Influencer,15,924.92,1.138,573.09,29.21,52.25,1011,328,3.98,2.434,164,Low,23602.88
South,Mobile,Email,9,541.23,1.056,534.36,31.54,50.8,983,168,3.84,2.818,318,Moderate,19347.44
West,Tablet,Social Media,23,692.43,1.018,583.29,25.48,45.27,904,1043,3.88,2.716,323,High,21380.67
South,Mobile,Search Ad,4,557.58,1.045,636.4,23.86,64.08,406,118,4.05,2.392,210,High,29656.48
East,Tablet,Email,10,1000.22,0.968,725.71,30.23,40.57,838,636,3.81,2.683,305,High,28057.87
East,Tablet,Influencer,5,2000.0,0.995,649.61,28.43,68.53,650,682,4.14,3.091,184,Very High,33260.05
North,Mobile,Influencer,18,364.74,0.833,774.13,30.95,57.0,605,433,3.84,3.952,223,Very High,35519.67
East,Mobile,Email,2,1249.65,0.969,773.81,30.96,59.78,1071,5,3.92,2.629,290,High,33965.58
North,Mobile,Email,11,542.18,1.141,561.94,31.3,30.02,911,426,3.86,2.491,186,Low,15955.25
West,Mobile,Email,4,641.15,1.012,562.05,27.51,41.84,1543,163,4.06,2.593,202,High,23914.06
North,Mobile,Influencer,22,1967.41,1.009,657.43,27.11,76.52,1000,278,4.1,2.978,250,High,25284.89
South,Tablet,Email,3,2000.0,1.08,627.0,26.03,46.16,654,230,3.85,2.74,250,Moderate,16437.69
North,Tablet,Social Media,6,992.78,1.029,601.19,27.3,68.24,709,235,3.98,2.788,181,Moderate,21140.98
West,Mobile,Social Media,1,1093.62,0.937,702.79,29.17,57.61,520,339,4.15,2.315,386,High,38799.66
East,Tablet,Search Ad,9,1555.09,1.002,503.31,31.67,38.11,1097,319,4.11,2.165,196,Moderate,22820.68
East,Mobile,Email,2,1168.22,0.909,560.93,31.4,45.43,951,479,3.81,3.05,307,Very High,25904.15
North,Mobile,Social Media,11,366.88,1.015,642.41,34.77,64.84,956,189,4.14,3.12,285,High,32383.72
West,Mobile,Influencer,7,1551.88,0.933,746.75,24.4,37.82,551,119,4.06,2.838,198,Moderate,29784.21
North,Mobile,Influencer,5,1593.26,1.074,820.0,30.24,74.32,1086,254,4.04,2.023,277,Very High,40000.0
West,Tablet,Search Ad,2,1556.45,0.959,524.12,22.43,30.81,469,579,3.94,3.333,196,Low,10371.75
North,Tablet,Email,6,1289.96,0.934,554.22,33.97,28.16,579,502,3.87,2.829,252,Low,14664.51
North,Mobile,Social Media,2,1568.87,0.991,461.2,25.85,53.15,896,303,3.82,2.143,299,High,17714.75
North,Mobile,Search Ad,6,608.16,1.029,517.59,34.86,63.61,692,351,4.04,2.967,213,High,25087.29
East,Mobile,Social Media,14,446.01,0.903,476.3,34.78,52.15,630,487,3.97,3.04,274,High,22413.94
East,Mobile,Influencer,10,581.4,0.958,614.09,31.87,41.1,845,227,3.98,2.675,212,Low,25996.04
North,Tablet,Search Ad,3,290.61,1.008,581.12,25.51,37.74,1033,329,3.99,2.99,259,Low,18080.57
West,Tablet,Email,15,790.0,1.107,632.94,31.89,41.13,1000,411,4.26,2.434,255,High,34391.83
East,Mobile,Influencer,17,1522.49,0.798,652.61,29.47,62.33,1065,300,4.14,2.535,225,Very High,37423.66
East,Mobile,Influencer,9,558.74,1.049,692.89,27.43,60.09,1001,760,4.11,1.988,134,High,33570.37
South,Mobile,Email,10,1687.93,0.969,624.26,29.06,51.83,722,575,3.74,3.135,296,High,23628.35
South,Mobile,Search Ad,2,969.75,0.96,531.67,37.48,60.58,1185,6,4.0,2.69,371,High,28125.35
East,Mobile,Social Media,8,833.54,0.946,491.44,24.23,51.54,357,1326,4.28,2.61,257,Very High,25123.6
North,Mobile,Social Media,14,1058.04,0.971,677.97,31.54,69.17,986,201,3.95,2.971,210,High,34782.18
North,Tablet,Email,22,88.71,1.05,711.67,31.02,46.36,984,372,4.22,3.038,261,Very High,34144.36
West,Tablet,Search Ad,10,1969.51,0.957,820.0,26.88,99.0,714,886,4.22,2.612,319,Very High,40000.0
West,Mobile,Influencer,11,1622.36,1.133,753.53,34.56,72.94,651,257,4.05,2.1,327,Very High,39236.39
South,Mobile,Search Ad,9,487.16,1.05,720.32,22.1,60.66,849,606,3.91,2.422,305,Very High,34755.08
South,Mobile,Email,7,615.52,1.016,628.46,35.89,70.34,640,219,4.18,2.554,276,Very High,36145.91
East,Mobile,Search Ad,14,697.79,0.987,632.51,36.18,52.9,1009,786,3.93,2.764,290,Very High,31039.75
South,Tablet,Social Media,36,2000.0,1.095,660.88,34.99,49.31,1014,892,3.96,2.818,255,Very High,24167.41
North,Mobile,Influencer,2,1289.57,1.107,662.91,26.46,76.38,990,189,3.79,3.289,189,Very High,29111.9
North,Mobile,Social Media,22,581.51,0.907,669.36,35.92,76.09,972,646,4.18,2.491,225,Very High,36638.12
East,Mobile,Email,4,1191.55,0.944,562.57,22.98,42.91,1080,939,4.09,2.714,228,High,20655.42
East,Tablet,Email,20,167.17,1.051,569.88,24.58,64.56,994,448,4.02,3.157,266,Very High,26597.94
North,Mobile,Search Ad,12,508.94,1.075,509.96,32.39,44.09,634,375,4.05,2.528,139,Moderate,20452.43
South,Mobile,Social Media,24,1940.64,0.976,688.69,39.91,72.45,414,607,4.13,2.485,280,Very High,38120.14
South,Mobile,Search Ad,12,102.32,0.941,518.52,30.36,64.7,941,321,3.96,2.904,123,Very High,27530.51
East,Tablet,Social Media,2,2000.0,1.006,654.7,23.63,55.52,1008,894,3.95,2.644,274,Very High,28891.25
North,Tablet,Social Media,12,2000.0,1.118,692.04,22.75,61.61,282,116,3.76,2.741,321,High,21390.56
North,Mobile,Social Media,2,1405.47,1.003,685.79,28.57,70.36,880,129,3.97,2.618,303,Moderate,30670.25
West,Tablet,Influencer,17,189.97,0.899,708.9,27.82,57.09,1067,594,3.86,2.638,192,Very High,37435.81
North,Tablet,Influencer,19,359.81,1.009,633.85,26.56,47.54,706,425,3.99,3.122,287,Low,22410.7
East,Tablet,Social Media,23,361.34,1.063,654.83,39.17,75.92,1181,400,4.02,2.829,292,Very High,37997.62
South,Tablet,Social Media,5,1455.37,0.992,601.09,26.74,56.68,1127,169,3.92,2.684,354,High,23552.91
North,Tablet,Email,24,1560.06,1.101,454.65,21.91,29.18,687,845,4.1,2.197,271,High,12195.07
South,Mobile,Search Ad,6,10.11,1.069,635.65,26.54,50.42,753,334,3.85,3.272,312,High,19300.94
West,Tablet,Social Media,10,1611.23,0.995,667.33,30.57,63.36,639,194,3.76,2.714,221,High,24708.54
West,Mobile,Influencer,7,867.67,1.003,743.15,31.19,43.93,899,436,3.94,2.473,195,Moderate,31953.71
West,Tablet,Influencer,15,375.73,0.853,649.24,25.32,67.77,400,485,3.94,3.293,302,High,28806.49
South,Mobile,Social Media,10,758.42,1.097,496.43,30.59,54.37,466,390,4.0,2.781,302,High,20384.26
East,Tablet,Social Media,25,322.46,0.974,607.76,18.0,72.07,81,479,3.93,3.182,209,High,29028.23
North,Tablet,Influencer,17,601.89,0.968,727.17,29.99,60.43,734,265,4.03,2.828,173,High,35502.6
South,Mobile,Influencer,1,802.8,0.956,698.74,26.49,78.92,1451,323,3.92,2.561,256,Very High,40000.0
West,Tablet,Email,18,2000.0,1.037,610.26,30.99,44.72,163,328,3.83,2.909,251,Moderate,19206.65
North,Mobile,Social Media,6,1525.45,0.91,508.48,31.54,51.68,807,189,4.03,2.614,263,High,22179.55
North,Tablet,Social Media,4,831.41,0.921,544.21,33.43,55.66,678,163,3.95,2.335,303,High,27017.37
North,Mobile,Social Media,2,1146.49,0.996,671.4,23.58,82.19,816,64,3.87,2.461,312,High,28703.31
North,Mobile,Email,8,1636.92,0.95,480.8,22.97,21.11,1224,490,3.8,3.198,248,Very Low,3588.6
North,Tablet,Email,22,974.97,1.027,573.99,27.59,49.15,482,487,3.94,3.244,186,Very High,19031.93
East,Mobile,Search Ad,7,1096.45,0.953,620.2,25.58,48.78,296,76,3.8,3.04,203,Low,22332.05
South,Tablet,Social Media,3,1245.94,1.128,727.41,25.41,57.64,585,9,3.91,2.509,211,High,30646.36
West,Mobile,Email,14,1269.18,1.055,655.08,40.24,57.48,666,199,3.94,3.192,241,High,27132.14
West,Mobile,Social Media,11,1119.81,1.054,709.66,33.22,73.77,213,279,3.91,2.927,216,Very High,33763.89
South,Mobile,Influencer,12,1066.18,0.952,690.6,40.02,71.35,931,373,4.1,2.697,233,High,38321.81
South,Mobile,Influencer,5,652.94,1.192,589.73,31.38,73.54,516,143,3.88,3.379,253,Very High,28696.19
South,Mobile,Social Media,5,1174.52,0.965,584.75,23.04,47.66,836,179,4.09,2.286,208,High,22072.13
East,Mobile,Social Media,9,289.29,0.943,539.75,22.58,48.14,755,169,3.92,3.477,268,High,21493.72
South,Mobile,Influencer,15,1855.03,1.057,731.07,38.32,52.78,549,151,3.87,2.456,361,Moderate,29523.5
East,Mobile,Social Media,2,535.36,1.016,564.26,22.69,75.68,1118,621,4.13,2.347,238,Very High,33131.56
South,Tablet,Social Media,15,324.49,0.935,583.62,28.99,50.11,658,521,3.99,4.068,206,High,28418.54
East,Tablet,Social Media,7,1733.65,1.176,647.94,28.48,51.43,756,469,4.08,2.77,267,High,26251.41
South,Mobile,Email,8,620.33,1.078,722.95,27.29,57.22,1030,192,3.73,3.486,199,High,23842.98
South,Tablet,Social Media,3,1488.51,1.0,693.32,33.97,73.26,824,105,4.06,2.798,239,Very High,34347.34
West,Mobile,Influencer,4,722.42,1.192,597.06,28.28,47.95,902,252,3.89,2.868,206,Low,23065.56
West,Tablet,Search Ad,11,2000.0,1.065,649.15,26.84,65.31,501,392,4.02,2.417,182,High,31302.84
North,Tablet,Social Media,14,852.12,0.999,758.85,28.63,56.38,417,422,3.98,3.006,194,High,31958.52
West,Tablet,Influencer,8,28.83,1.183,692.85,24.9,78.91,786,360,4.2,3.019,207,Very High,39325.94
East,Mobile,Email,4,836.88,1.053,468.55,42.0,34.97,581,136,3.68,2.902,183,High,17795.82
West,Tablet,Social Media,12,1331.97,1.049,564.08,33.96,62.61,970,284,4.19,2.426,327,Very High,30816.36
West,Mobile,Search Ad,2,1976.84,0.969,557.14,25.41,45.9,822,470,4.06,2.573,275,Moderate,17303.73
South,Tablet,Search Ad,33,2000.0,1.004,752.26,30.06,40.79,928,555,3.99,2.666,306,High,26777.56
North,Mobile,Email,12,1285.51,0.967,706.78,20.06,28.17,574,166,3.72,2.889,164,Very Low,17259.9
South,Mobile,Social Media,4,1319.72,1.115,587.03,31.91,43.85,529,157,3.73,2.821,230,Low,16996.72
East,Tablet,Search Ad,15,1665.55,0.871,577.92,25.46,59.2,1227,534,3.95,2.14,274,Moderate,23115.98
East,Tablet,Search Ad,17,133.08,1.109,599.5,29.5,23.14,697,285,3.97,3.361,350,Very Low,15194.6
South,Mobile,Search Ad,6,199.61,0.93,603.36,16.25,49.2,1125,355,3.97,3.128,201,Low,21202.77
North,Tablet,Social Media,6,1049.89,0.995,554.11,27.45,53.99,331,1053,4.13,1.398,168,Very High,31047.71
West,Mobile,Email,14,267.57,0.976,563.96,36.01,22.75,778,342,3.72,2.79,260,Low,18098.79
West,Tablet,Social Media,6,538.77,0.958,503.56,27.85,38.26,1118,124,3.92,2.54,206,Low,14794.17
East,Mobile,Email,17,625.06,1.055,693.54,29.69,38.3,406,525,4.09,3.035,354,High,31092.03
North,Mobile,Influencer,11,1685.22,1.0,539.25,29.88,55.48,1520,106,4.13,2.772,282,Moderate,23426.01
South,Mobile,Social Media,12,1651.19,0.947,502.61,29.84,68.2,919,164,3.84,2.521,230,High,21268.38
North,Mobile,Social Media,3,1484.25,1.012,675.46,39.5,73.59,623,10,3.94,2.625,230,Moderate,31030.93
West,Mobile,Search Ad,7,1689.98,0.944,531.23,27.6,40.11,962,96,3.87,3.128,240,Very Low,12649.89
North,Mobile,Social Media,8,260.68,0.957,573.66,20.42,38.91,1182,677,3.9,3.004,135,High,21640.53
East,Mobile,Social Media,10,740.0,0.88,629.33,29.91,34.6,621,532,4.06,2.228,251,Moderate,22194.39
South,Tablet,Influencer,20,844.3,0.964,715.6,31.08,58.14,542,397,4.34,2.72,218,Very High,39114.29
East,Tablet,Influencer,21,394.1,1.04,633.98,30.09,47.43,812,929,3.9,3.611,287,High,26110.9
East,Mobile,Search Ad,11,834.87,1.003,753.7,33.76,56.06,994,478,4.05,2.403,192,High,36127.08
West,Mobile,Email,9,1696.95,1.145,615.3,41.9,48.6,802,234,3.99,2.828,290,Moderate,22490.39
North,Mobile,Search Ad,9,735.57,1.209,704.45,29.14,46.84,977,168,3.98,2.65,282,Low,19819.05
North,Mobile,Search Ad,4,1048.2,0.963,638.34,25.29,43.06,1108,375,4.11,2.366,258,Moderate,29393.07
North,Tablet,Email,7,1902.43,0.933,790.35,18.49,40.88,790,176,3.97,3.08,326,Low,23014.5
West,Mobile,Social Media,10,93.79,1.09,694.73,32.61,51.89,659,261,3.71,3.121,131,Moderate,31340.93
West,Mobile,Influencer,5,845.26,1.027,665.07,24.46,77.6,854,195,3.85,3.02,276,High,32812.19
East,Mobile,Email,4,1209.8,1.091,654.92,35.68,55.35,1369,10,3.81,2.807,245,Low,24380.42
East,Mobile,Search Ad,12,821.29,1.032,590.2,27.7,54.38,957,564,3.92,2.646,243,High,24956.3
East,Tablet,Social Media,5,662.65,0.984,600.91,36.03,68.44,1100,144,3.97,2.477,187,Very High,36876.93
North,Tablet,Social Media,36,591.03,0.985,516.73,25.81,60.65,591,678,4.01,2.298,160,High,24423.22
West,Mobile,Email,12,909.68,1.035,533.35,35.27,61.56,936,189,3.76,2.731,303,Moderate,23132.36
South,Mobile,Influencer,4,126.5,0.983,810.66,30.24,74.76,1090,365,3.84,3.083,297,Very High,40000.0
South,Tablet,Social Media,36,2000.0,1.098,555.68,38.11,56.5,1174,521,3.75,2.857,360,High,21048.65
East,Tablet,Search Ad,12,398.81,0.896,549.33,20.07,35.82,1096,463,3.76,2.899,370,High,18994.16
North,Mobile,Search Ad,4,925.89,1.097,605.87,33.88,39.2,535,114,4.03,2.576,152,Low,20124.52
North,Mobile,Search Ad,5,258.99,0.85,593.87,26.53,58.78,1194,187,3.94,3.334,238,Low,25233.18
West,Mobile,Influencer,12,1815.81,1.012,713.65,21.01,58.71,1349,137,3.85,2.519,264,Moderate,23399.57
North,Mobile,Search Ad,1,47.51,0.974,556.52,32.97,29.76,693,343,3.69,3.626,308,Moderate,16610.88
East,Mobile,Social Media,1,650.17,0.879,657.93,26.45,27.96,601,84,3.76,3.115,336,Very Low,19599.05
South,Mobile,Influencer,9,1490.32,0.835,767.18,37.03,94.97,853,337,4.15,2.122,184,Very High,40000.0
South,Mobile,Search Ad,8,892.56,0.912,713.97,29.1,40.62,912,177,3.98,2.399,214,High,32399.02
South,Mobile,Social Media,9,543.69,1.004,598.56,34.53,45.84,758,952,4.0,2.181,333,Very High,27997.17
South,Tablet,Email,5,689.38,0.952,642.07,23.1,60.49,396,251,3.95,2.833,144,High,23522.09
East,Mobile,Influencer,11,1585.25,0.917,586.18,31.05,41.52,1287,130,3.71,2.898,181,Moderate,21703.08
South,Mobile,Social Media,18,1589.94,1.108,585.24,34.46,61.05,611,188,3.88,2.174,275,Low,21074.63
East,Mobile,Search Ad,8,873.65,0.901,518.32,27.82,67.96,713,248,4.07,2.373,375,High,27864.44
East,Mobile,Social Media,2,360.92,1.054,612.28,23.51,79.78,892,686,4.0,3.258,144,Very High,30380.63
East,Tablet,Email,6,126.45,0.929,512.04,9.25,28.97,313,155,4.09,3.127,252,Low,9362.55
West,Mobile,Search Ad,6,1720.03,0.91,509.19,24.85,42.88,411,470,4.11,2.997,282,Moderate,16907.84
West,Mobile,Email,6,1773.01,0.952,586.13,32.58,39.51,735,183,3.87,2.338,339,Low,20618.06
South,Tablet,Social Media,9,1711.1,1.05,507.36,21.14,46.68,979,523,3.95,2.682,276,Moderate,14259.33
North,Mobile,Search Ad,1,1699.38,0.89,736.56,22.24,69.41,915,553,4.31,2.082,134,Very High,36804.4
South,Tablet,Social Media,29,1039.21,1.023,586.26,24.55,33.22,143,2024,4.23,2.528,168,Very High,19523.48
East,Mobile,Search Ad,24,1414.14,0.923,702.94,33.36,62.56,1263,268,4.0,2.587,333,High,35648.8
North,Mobile,Influencer,10,1809.09,0.938,643.43,25.33,55.67,1091,526,4.03,2.724,275,High,25421.62
East,Mobile,Search Ad,10,625.71,1.032,511.17,35.9,64.01,915,180,4.0,2.507,178,High,32041.47
East,Mobile,Email,7,854.78,1.174,690.85,35.43,67.27,908,230,4.0,2.917,279,Very High,34520.87
South,Tablet,Email,9,993.68,0.927,606.96,29.12,39.33,935,439,3.82,2.526,267,High,26116.74
West,Tablet,Search Ad,36,795.89,1.058,761.46,37.0,56.35,1415,638,3.97,2.316,93,High,32802.66
North,Mobile,Influencer,2,1740.03,0.975,643.96,24.55,69.62,1115,217,3.83,2.848,118,Moderate,21119.21
North,Mobile,Influencer,28,317.35,0.962,614.39,26.23,69.94,946,1324,4.22,3.645,267,Very High,30661.8
West,Tablet,Influencer,3,1206.67,1.086,749.93,33.1,33.03,384,474,3.92,2.174,374,High,31906.07
East,Tablet,Social Media,7,890.81,0.933,708.54,32.33,70.66,788,251,4.1,2.179,264,Very High,40000.0
East,Mobile,Social Media,3,1761.9,0.908,659.04,32.05,78.2,1084,253,3.87,2.822,96,High,32866.84
South,Mobile,Social Media,8,490.76,1.037,820.0,27.09,65.97,827,150,4.16,2.933,148,Moderate,40000.0
South,Mobile,Email,13,454.79,1.128,565.56,30.88,55.61,708,365,4.14,2.659,287,High,26784.99
West,Tablet,Email,7,205.79,1.06,480.97,22.6,53.76,901,387,3.79,3.084,294,High,18042.96
West,Mobile,Influencer,3,1993.44,0.887,606.65,32.38,61.41,573,347,3.94,2.839,236,High,27867.22
East,Mobile,Social Media,3,475.23,0.951,596.48,18.73,60.83,1112,725,3.99,2.838,218,Very High,26249.88
South,Tablet,Social Media,9,722.06,1.078,745.39,19.6,57.36,614,241,3.8,2.552,297,Low,25588.2
East,Mobile,Email,9,397.6,1.126,571.84,19.1,39.56,244,799,3.96,3.467,317,Moderate,18615.04
South,Mobile,Influencer,24,1903.61,1.018,810.16,21.61,56.07,728,551,4.07,2.589,291,High,33058.42
North,Mobile,Search Ad,5,164.95,0.954,631.38,32.69,52.97,843,123,3.89,2.615,189,Low,25528.56
West,Mobile,Search Ad,23,1541.88,1.132,713.59,38.57,80.6,1020,370,3.84,2.715,304,Very High,34256.69
North,Mobile,Influencer,10,871.14,0.994,693.14,23.81,48.29,987,341,4.06,2.409,226,Moderate,25493.0
West,Mobile,Social Media,3,577.42,0.952,651.04,28.01,63.32,486,198,3.89,3.184,211,Moderate,31038.47
South,Mobile,Search Ad,7,1213.42,0.938,679.91,36.59,58.17,895,79,3.87,2.276,208,Low,25865.21
North,Mobile,Email,2,627.63,0.904,546.47,30.86,61.56,705,289,4.19,2.348,249,High,28258.66
East,Tablet,Email,8,1730.44,1.227,571.61,41.01,67.98,636,96,4.03,2.719,283,Moderate,17352.64
West,Tablet,Influencer,15,516.7,1.114,682.33,31.13,49.57,451,910,3.94,3.539,123,High,26189.71
West,Mobile,Search Ad,8,1918.73,0.947,790.5,26.16,48.59,845,617,3.85,3.439,203,Low,24215.89
West,Mobile,Social Media,12,1535.14,1.139,518.51,27.25,42.37,1768,285,4.06,2.592,219,Low,14620.95
East,Mobile,Social Media,7,1502.83,1.043,478.73,29.38,41.63,1398,64,4.02,2.758,312,High,15339.21
East,Mobile,Search Ad,3,19.6,1.038,572.33,30.22,42.2,570,301,3.88,3.445,194,Moderate,19711.88
West,Mobile,Email,20,643.94,0.943,674.63,32.1,53.02,879,531,3.85,2.401,227,Very High,33590.59
South,Tablet,Social Media,6,2000.0,0.959,656.11,25.79,43.84,649,646,4.03,2.633,298,High,23193.38
East,Mobile,Social Media,6,1282.84,0.997,542.68,35.36,43.24,901,52,3.99,3.132,250,High,19269.49
South,Mobile,Social Media,10,54.35,0.843,615.52,29.44,43.82,1126,490,3.92,3.256,343,Low,21950.5
West,Mobile,Influencer,6,753.85,0.961,520.95,28.51,59.99,822,344,3.86,3.43,239,High,21404.68
West,Tablet,Social Media,4,886.21,1.0,677.81,23.39,54.38,533,142,3.96,2.522,365,Moderate,28031.85
North,Mobile,Email,9,1502.0,1.105,586.32,30.85,41.05,1195,104,3.97,2.64,376,Moderate,19199.31
East,Tablet,Search Ad,13,763.37,0.951,603.23,31.2,38.1,382,528,3.9,2.692,276,Moderate,20247.87
