ApplicationID,Age,Gender,MaritalStatus,Dependents,EducationLevel,State,ResidenceType,YearsAtCurrentResidence,EmploymentType,Employed,EmploymentLengthYears,AnnualIncome,IncomeVerified,CreditScore,CreditHistoryMonths,ExistingLoanAccounts,ExistingCreditCards,TotalMonthlyDebtPayment,DebtToIncomeRatio,RevolvingUtilization,PriorDefault,BankruptcyLast7Years,EnquiriesLast6Months,Approval
LHB-2401526,54,Others,Single,1,Associate Degree,PA,Rent,3.0,Salaried-Private,1,1.0,70.8,1,622,354,3,0,1521.0,0.258,0.306,0,0,5,Yes
LHB-2403866,45,Female,Single,0,Doctorate,TX,Rent,13.0,Salaried-Government,1,0.0,93.2,1,509,274,1,3,1397.0,0.18,0.293,0,0,2,No
LHB-2405982,38,Female,Single,0,High School,TN,Own (with mortgage),4.0,Salaried-Private,1,2.0,50.0,1,597,153,0,2,631.0,0.151,0.224,0,0,3,No
LHB-2404474,32,Female,Married,2,Bachelor's,CT,Own (with mortgage),2.0,Salaried-Private,1,1.0,69.8,1,536,109,3,3,1789.0,0.308,0.209,1,0,2,No
LHB-2403691,39,Female,Single,0,Bachelor's,GA,Own (with mortgage),6.0,Salaried-Private,1,5.0,85.2,1,663,197,2,5,1231.0,0.173,0.165,0,0,2,Yes
LHB-2402519,19,Female,Married,2,High School,TX,Rent,1.0,Salaried-Private,1,1.0,30.1,0,708,39,0,0,206.0,0.082,0.592,0,0,1,Yes
LHB-2405370,49,Female,Married,5,Bachelor's,VT,Live with Family,19.0,Salaried-Private,1,3.0,134.5,1,837,238,1,3,2339.0,0.209,0.406,0,0,2,Yes
LHB-2406548,18,Female,Married,0,High School,ID,Own (with mortgage),4.0,Student,0,0.0,12.0,1,552,0,2,2,1275.0,0.852,0.481,0,0,0,No
LHB-2401355,46,Female,Married,0,Bachelor's,MD,Rent,4.0,Salaried-Private,1,6.0,40.9,1,611,237,3,2,1063.0,0.312,0.42,0,0,0,No
LHB-2401067,45,Female,Single,0,High School,MD,Own (with mortgage),5.0,Salaried-Government,1,10.0,78.6,1,518,297,2,2,1254.0,0.191,0.437,0,0,10,No
LHB-2404905,55,Male,Single,0,Master's,FL,Own (with mortgage),10.0,Salaried-Private,1,1.0,94.2,0,653,326,2,2,1692.0,0.216,0.206,0,0,3,Yes
LHB-2407585,35,Male,Married,3,Master's,MD,Rent,2.0,Self-Employed,1,9.0,84.6,0,592,208,1,3,1870.0,0.265,0.316,0,0,2,No
LHB-2406035,32,Female,Married,4,High School,NC,Own (outright),4.0,Salaried-Private,1,1.0,42.5,1,610,115,1,1,527.0,0.149,0.617,0,0,3,Yes
LHB-2403739,34,Female,Married,3,Master's,KY,Own (outright),2.0,Salaried-Private,1,9.0,107.8,1,653,143,1,1,1633.0,0.444,0.05,0,0,0,Yes
LHB-2402838,54,Female,Married,6,Bachelor's,TN,Live with Family,5.0,Salaried-Government,1,0.0,65.3,1,660,333,1,4,1603.0,0.295,0.522,0,0,0,Yes
LHB-2400760,55,Male,Single,0,High School,FL,Own (with mortgage),12.0,Unemployed,0,0.0,12.0,1,528,337,2,4,1821.0,0.852,0.6833,1,0,1,No
LHB-2404778,39,Female,Single,0,Master's,PA,Own (with mortgage),2.0,Salaried-Private,1,1.0,62.1,1,624,135,0,2,1087.0,0.21,0.211,0,0,0,Yes
LHB-2401769,74,Male,Married,3,Bachelor's,TN,Own (with mortgage),3.0,Retired,0,0.0,33.2,1,607,496,1,1,712.0,0.257,0.277,0,0,2,Yes
LHB-2400978,23,Male,Single,3,Master's,FL,Rent,6.0,Contract,1,0.0,63.9,1,656,65,2,2,1822.0,0.342,0.462,0,0,1,Yes
LHB-2405147,31,Male,Divorced,1,Doctorate,NC,Rent,5.0,Salaried-Private,1,1.0,88.1,1,643,154,1,1,1265.0,0.172,0.511,0,0,2,Yes
LHB-2407288,33,Male,Single,0,Master's,FL,Own (with mortgage),6.0,Salaried-Government,1,0.0,104.6,1,748,102,0,0,1098.0,0.126,0.316,0,0,0,Yes
LHB-2407860,27,Female,Single,0,Bachelor's,PA,Own (with mortgage),5.0,Salaried-Private,1,2.0,51.0,0,647,86,0,3,366.0,0.086,0.396,0,0,2,Yes
LHB-2401409,46,Male,Single,0,Master's,DC,Rent,5.0,Salaried-Private,1,5.0,85.7,1,694,200,1,4,1341.0,0.188,0.403,0,0,2,Yes
LHB-2407493,18,Male,Divorced,2,Bachelor's,GA,Own (outright),7.0,Salaried-Private,1,1.0,54.4,1,576,5,0,2,727.0,0.16,0.585,0,0,1,No
LHB-2405089,64,Female,Married,2,Bachelor's,WV,Own (outright),7.0,Retired,0,0.0,60.0,1,536,401,1,1,814.0,0.163,0.316,1,0,1,No
LHB-2404560,48,Female,Single,0,High School,WY,Live with Family,4.0,Salaried-Private,1,11.0,42.9,1,566,261,2,0,595.0,0.166,0.116,0,0,1,No
LHB-2406804,48,Female,Married,3,High School,TX,Rent,3.0,Unemployed,0,2.0,12.0,1,552,273,1,0,497.0,0.497,0.26,0,0,0,No
LHB-2401554,23,Male,Married,2,Master's,DC,Rent,7.0,Salaried-Private,1,1.0,39.7,1,582,33,3,2,2411.0,0.729,0.6833,0,0,4,No
LHB-2406960,18,Female,Divorced,0,Bachelor's,MD,Rent,0.0,Unemployed,0,0.0,12.0,1,559,0,1,1,429.0,0.429,0.261,0,0,0,No
LHB-2406111,37,Male,Single,1,Bachelor's,MD,Rent,4.0,Salaried-Government,1,0.0,147.2,0,673,145,0,3,3589.0,0.149,0.04,0,0,0,Yes
LHB-2402496,39,Male,Single,0,Master's,NY,Own (with mortgage),2.0,Salaried-Private,1,3.0,70.4,1,637,193,2,2,1422.0,0.242,0.0,0,0,1,Yes
LHB-2403176,50,Male,Divorced,0,Bachelor's,TN,Own (outright),2.0,Self-Employed,1,4.0,50.4,1,701,235,0,3,684.0,0.163,0.444,0,0,1,Yes
LHB-2407404,74,Female,Married,5,Bachelor's,FL,Own (with mortgage),3.0,Retired,0,2.0,31.8,0,621,530,2,4,1793.0,0.677,0.337,0,0,1,No
LHB-2402101,19,Female,Single,1,Associate Degree,FL,Own (outright),3.0,Salaried-Private,1,1.0,28.6,1,572,13,2,0,1094.0,0.459,0.34,0,0,8,No
LHB-2400704,53,Male,Married,3,High School,AL,Rent,6.0,Salaried-Private,1,6.0,41.4,1,508,336,1,1,746.0,0.216,0.226,1,0,6,No
LHB-2406861,24,Female,Married,1,High School,TN,Own (with mortgage),4.0,Salaried-Private,1,0.0,33.7,0,578,119,1,4,977.0,0.348,0.571,0,0,0,No
LHB-2402547,64,Male,Married,0,Bachelor's,NC,Own (with mortgage),14.0,Retired,0,0.0,29.4,1,572,431,1,2,1099.0,0.449,0.436,0,0,3,No
LHB-2407235,54,Female,Married,1,Bachelor's,SC,Rent,5.0,Salaried-Government,1,10.0,57.2,1,705,301,0,2,721.0,0.151,0.027,0,0,1,Yes
LHB-2405964,63,Female,Married,4,Associate Degree,WA,Own (with mortgage),19.0,Self-Employed,1,0.0,121.2,1,659,395,0,2,790.0,0.078,0.482,0,0,1,Yes
LHB-2404640,58,Male,Married,1,Bachelor's,MS,Rent,10.0,Salaried-Private,1,4.0,107.4,0,657,352,0,2,1481.0,0.165,0.423,0,0,1,Yes
LHB-2406049,38,Male,Married,4,High School,VA,Live with Family,13.0,Self-Employed,1,3.0,71.0,1,641,197,1,2,758.0,0.128,0.582,0,0,1,Yes
LHB-2407705,35,Male,Single,0,Associate Degree,KY,Rent,1.0,Self-Employed,1,5.0,71.7,0,656,153,2,1,1605.0,0.269,0.487,0,0,3,Yes
LHB-2406599,55,Male,Single,0,Bachelor's,TX,Own (with mortgage),7.0,Salaried-Government,1,8.0,60.0,1,645,341,1,2,1547.0,0.309,0.245,0,0,0,Yes
LHB-2403490,25,Female,Single,0,Bachelor's,MS,Own (outright),0.0,Salaried-Government,1,3.0,45.1,1,636,94,1,0,1050.0,0.279,0.166,0,0,1,Yes
LHB-2406926,24,Female,Single,3,Master's,GA,Own (outright),1.0,Self-Employed,1,2.0,45.3,1,553,71,1,1,648.0,0.172,0.425,0,0,3,No
LHB-2405584,33,Female,Married,0,Bachelor's,MD,Own (outright),3.0,Salaried-Government,1,7.0,71.0,1,563,136,2,2,2282.0,0.386,0.581,0,0,1,No
LHB-2402658,38,Female,Married,4,Associate Degree,SC,Own (with mortgage),9.0,Salaried-Private,1,10.0,57.2,1,628,199,1,1,1512.0,0.317,0.06,0,0,2,Yes
LHB-2404411,38,Female,Married,2,High School,PA,Own (with mortgage),5.0,Salaried-Private,1,2.0,29.6,0,630,168,2,2,1541.0,0.625,0.634,0,0,1,No
LHB-2407456,58,Female,Married,3,Associate Degree,WI,Live with Family,9.0,Salaried-Private,1,2.0,34.8,1,692,330,3,0,800.0,0.276,0.172,0,0,1,Yes
LHB-2407477,42,Female,Married,1,Associate Degree,GA,Own (outright),10.0,Salaried-Private,1,0.0,71.1,1,639,194,1,2,1137.0,0.192,0.261,0,0,0,No
LHB-2402091,48,Female,Married,2,Bachelor's,MO,Own (with mortgage),2.0,Salaried-Private,1,12.0,98.0,1,711,303,2,2,1633.0,0.2,0.339,0,0,4,Yes
LHB-2401984,31,Female,Married,2,Master's,PA,Own (with mortgage),5.0,Salaried-Private,1,0.0,66.6,1,610,143,1,4,797.0,0.144,0.332,0,0,0,Yes
LHB-2403387,34,Male,Single,0,Bachelor's,MS,Own (with mortgage),6.0,Salaried-Government,1,4.0,116.8,1,624,106,1,3,1923.0,0.198,0.526,0,0,2,Yes
LHB-2401707,43,Female,Widowed,2,Bachelor's,DC,Own (with mortgage),15.0,Self-Employed,1,5.0,67.8,1,721,207,0,1,780.0,0.138,0.155,0,0,1,Yes
LHB-2404320,31,Female,Single,0,Bachelor's,AL,Live with Family,17.0,Salaried-Private,1,1.0,90.6,0,680,167,1,5,1967.0,0.261,0.195,0,0,3,Yes
LHB-2407253,39,Female,Married,2,Bachelor's,UT,Own (with mortgage),2.0,Salaried-Private,1,4.0,37.5,1,701,139,1,3,862.0,0.276,0.167,1,0,0,Yes
LHB-2406442,55,Female,Married,0,Master's,AL,Rent,6.0,Salaried-Private,1,5.0,61.4,1,581,341,3,1,1266.0,0.247,0.0,1,0,2,No
LHB-2400694,30,Male,Married,0,Doctorate,PA,Own (outright),4.0,Salaried-Government,1,5.0,92.1,1,685,103,0,5,1284.0,0.167,0.108,0,0,3,Yes
LHB-2407244,27,Female,Married,4,High School,GA,Own (with mortgage),12.0,Salaried-Private,1,5.0,35.3,1,551,71,4,1,2020.0,0.687,0.251,0,0,0,No
LHB-2403679,41,Male,Single,0,Bachelor's,NY,Rent,6.0,Salaried-Private,1,1.0,77.9,1,587,178,2,3,1785.0,0.275,0.364,1,0,4,No
LHB-2404887,59,Male,Single,0,Doctorate,MS,Own (outright),4.0,Salaried-Private,1,0.0,147.2,1,685,336,1,3,3507.0,0.213,0.231,0,0,2,Yes
LHB-2405767,60,Female,Single,0,Associate Degree,GA,Live with Family,14.0,Salaried-Private,1,10.0,117.5,0,663,379,2,4,2837.0,0.29,0.442,0,0,0,Yes
LHB-2403008,37,Male,Married,1,Bachelor's,TN,Own (outright),9.0,Salaried-Private,1,1.0,147.2,1,767,201,0,2,1435.0,0.078,0.339,0,0,3,Yes
LHB-2404460,45,Male,Married,0,Associate Degree,NH,Rent,7.0,Salaried-Government,1,7.0,52.6,1,602,279,1,0,1008.0,0.23,0.411,0,0,0,Yes
LHB-2401076,56,Female,Married,1,Bachelor's,PA,Own (with mortgage),4.0,Salaried-Private,1,2.0,85.8,0,728,315,2,2,2336.0,0.327,0.6833,0,0,4,Yes
LHB-2403227,39,Female,Divorced,1,Associate Degree,GA,Live with Family,5.0,Salaried-Private,1,1.0,45.6,1,667,194,0,3,327.0,0.086,0.333,0,0,4,Yes
LHB-2400529,59,Male,Married,1,Associate Degree,NC,Own (with mortgage),9.0,Salaried-Private,1,8.0,83.6,1,753,384,3,1,1466.0,0.21,0.564,0,0,0,Yes
LHB-2407208,32,Female,Divorced,0,Bachelor's,NC,Rent,2.0,Salaried-Private,1,1.0,39.2,1,580,109,0,3,243.0,0.074,0.176,0,0,0,No
LHB-2402434,37,Female,Married,4,Associate Degree,ND,Own (with mortgage),2.0,Salaried-Private,1,1.0,55.5,1,645,145,0,0,700.0,0.151,0.439,0,0,2,Yes
LHB-2404733,18,Male,Married,2,Bachelor's,MS,Live with Family,9.0,Contract,1,1.0,56.2,1,514,5,2,1,1574.0,0.336,0.488,1,0,3,No
LHB-2402588,44,Male,Single,0,Master's,MS,Own (with mortgage),8.0,Salaried-Private,1,1.0,147.2,1,635,205,0,0,299.0,0.023,0.192,0,0,2,Yes
LHB-2403356,33,Female,Single,0,Master's,NE,Own (outright),1.0,Salaried-Government,1,2.0,80.4,1,692,151,2,3,1621.0,0.242,0.401,0,0,1,No
LHB-2402948,49,Male,Married,2,Bachelor's,AZ,Own (with mortgage),3.0,Salaried-Private,1,2.0,55.8,1,593,311,0,3,673.0,0.145,0.231,0,1,0,No
LHB-2402130,41,Male,Married,2,Master's,KS,Rent,6.0,Self-Employed,1,4.0,136.2,0,624,208,2,4,2592.0,0.228,0.076,0,0,3,Yes
LHB-2405645,18,Male,Married,0,Bachelor's,WV,Own (with mortgage),3.0,Contract,1,1.0,32.8,1,616,16,2,1,673.0,0.246,0.006,0,0,1,No
LHB-2405443,39,Female,Divorced,0,Bachelor's,SC,Rent,8.0,Salaried-Private,1,2.0,105.4,0,666,154,1,3,1846.0,0.21,0.436,0,0,0,Yes
LHB-2400525,35,Female,Single,0,Associate Degree,PA,Rent,13.0,Self-Employed,1,2.0,65.6,1,629,160,5,0,1042.0,0.191,0.174,1,0,4,No
LHB-2405533,42,Male,Married,2,Bachelor's,CA,Own (with mortgage),5.0,Salaried-Private,1,0.0,80.6,1,652,235,1,2,738.0,0.11,0.347,0,0,6,Yes
LHB-2406991,44,Male,Single,0,Associate Degree,VA,Rent,8.0,Contract,1,4.0,75.0,0,587,243,1,0,574.0,0.092,0.145,0,0,1,Yes
LHB-2407024,41,Male,Single,2,High School,MS,Own (with mortgage),7.0,Contract,1,4.0,41.2,1,601,194,1,2,813.0,0.237,0.307,0,0,1,Yes
LHB-2406284,43,Male,Married,3,Doctorate,KY,Rent,5.0,Contract,1,20.0,100.3,1,669,217,1,1,1509.0,0.181,0.224,0,0,2,Yes
LHB-2406153,38,Female,Divorced,1,Master's,KY,Own (with mortgage),1.0,Salaried-Private,1,2.0,54.8,1,698,202,1,3,1663.0,0.364,0.176,0,0,10,Yes
LHB-2404276,49,Male,Widowed,1,High School,PA,Rent,10.0,Salaried-Private,1,20.0,32.1,1,588,287,3,2,1898.0,0.71,0.295,0,0,1,No
LHB-2402208,47,Female,Single,0,Master's,KY,Rent,3.0,Unemployed,0,0.0,12.0,1,627,242,1,2,808.0,0.808,0.49,0,0,2,No
LHB-2403609,40,Female,Single,0,High School,MO,Rent,2.0,Contract,1,4.0,23.9,1,551,212,0,3,650.0,0.326,0.638,0,0,1,No
LHB-2403389,34,Female,Single,3,Associate Degree,CT,Own (with mortgage),1.0,Unemployed,0,0.0,12.0,1,512,102,1,1,765.0,0.765,0.068,1,0,3,No
LHB-2401753,33,Female,Single,0,High School,AK,Own (with mortgage),3.0,Salaried-Private,1,11.0,42.6,1,530,111,2,1,1770.0,0.499,0.45,0,0,0,No
LHB-2405743,48,Female,Single,1,Master's,NH,Own (with mortgage),14.0,Self-Employed,1,0.0,94.3,0,636,212,2,1,1467.0,0.187,0.066,0,0,3,Yes
LHB-2405987,34,Female,Married,2,Associate Degree,IA,Own (with mortgage),2.0,Salaried-Government,1,12.0,38.8,1,570,146,1,3,1042.0,0.322,0.268,0,0,2,No
LHB-2401592,38,Male,Single,0,High School,MO,Own (with mortgage),6.0,Salaried-Private,1,16.0,61.0,1,489,166,1,1,1391.0,0.274,0.253,1,0,0,No
LHB-2402011,61,Male,Married,2,Associate Degree,MI,Rent,13.0,Contract,1,0.0,104.6,1,695,363,1,2,1634.0,0.187,0.0,0,0,2,Yes
LHB-2400019,39,Male,Married,2,Bachelor's,SC,Own (with mortgage),10.0,Salaried-Private,1,13.0,76.1,1,653,189,3,2,1563.0,0.246,0.0,0,0,1,Yes
LHB-2405075,40,Male,Single,1,High School,FL,Own (with mortgage),3.0,Self-Employed,1,15.0,48.5,1,593,217,3,2,1939.0,0.48,0.406,1,0,0,No
LHB-2401428,48,Female,Married,1,High School,ND,Rent,4.0,Self-Employed,1,5.0,56.5,0,608,244,1,5,1910.0,0.406,0.532,0,0,0,No
LHB-2404548,42,Female,Single,0,Bachelor's,GA,Rent,5.0,Self-Employed,1,18.0,83.7,0,609,229,0,2,513.0,0.074,0.309,0,0,3,Yes
LHB-2406669,29,Male,Single,0,Associate Degree,WV,Own (outright),2.0,Salaried-Private,1,3.0,29.5,1,599,135,3,0,1791.0,0.729,0.46,0,0,1,No
LHB-2405356,18,Female,Married,0,Associate Degree,TX,Own (with mortgage),0.0,Contract,1,1.0,20.6,1,595,1,2,2,1069.0,0.623,0.394,0,0,6,No
LHB-2405587,49,Female,Married,4,Master's,NC,Rent,3.0,Salaried-Private,1,1.0,55.6,1,552,282,1,2,953.0,0.206,0.455,0,1,0,No
LHB-2407741,47,Female,Married,3,Bachelor's,HI,Own (with mortgage),5.0,Salaried-Private,1,4.0,67.8,1,631,243,0,4,1099.0,0.195,0.517,0,0,1,Yes
LHB-2405614,49,Female,Single,0,High School,TN,Own (with mortgage),12.0,Salaried-Private,1,6.0,56.9,1,570,287,5,3,1989.0,0.419,0.624,0,0,2,Yes
LHB-2401169,36,Female,Married,2,Associate Degree,MS,Own (with mortgage),2.0,Salaried-Private,1,6.0,58.0,0,636,180,0,2,624.0,0.129,0.436,0,0,0,No
LHB-2404881,43,Male,Single,0,Master's,KY,Own (with mortgage),2.0,Salaried-Private,1,3.0,67.8,1,681,194,2,4,1811.0,0.321,0.575,0,0,1,Yes
LHB-2406713,31,Male,Single,0,Bachelor's,WV,Rent,11.0,Salaried-Private,1,4.0,68.0,1,593,79,1,0,1183.0,0.209,0.319,0,0,3,Yes
LHB-2403177,42,Male,Married,2,Bachelor's,CO,Rent,5.0,Salaried-Private,1,7.0,139.6,1,762,227,2,2,889.0,0.076,0.169,0,0,1,Yes
LHB-2402040,51,Male,Married,2,Associate Degree,FL,Own (with mortgage),6.0,Salaried-Private,1,4.0,69.1,1,651,317,0,4,409.0,0.071,0.316,0,0,1,Yes
LHB-2401680,22,Male,Single,0,Bachelor's,AL,Own (with mortgage),0.0,Student,0,0.0,12.0,0,638,45,1,3,1045.0,0.852,0.184,0,0,3,No
LHB-2402140,39,Female,Married,1,Master's,FL,Rent,3.0,Salaried-Private,1,1.0,70.5,0,648,157,1,2,870.0,0.148,0.379,0,0,2,Yes
LHB-2406911,33,Male,Single,1,Associate Degree,HI,Own (with mortgage),1.0,Self-Employed,1,8.0,100.2,1,671,128,0,1,835.0,0.1,0.123,0,0,2,Yes
LHB-2402190,49,Male,Single,1,Master's,FL,Rent,4.0,Salaried-Private,1,8.0,113.5,1,699,283,4,2,3855.0,0.408,0.293,0,0,0,Yes
LHB-2406312,41,Male,Married,1,Associate Degree,MD,Live with Family,1.0,Self-Employed,1,1.0,58.7,1,642,225,1,5,1531.0,0.313,0.375,0,0,1,Yes
LHB-2403355,18,Male,Married,0,Associate Degree,PA,Own (with mortgage),1.0,Student,0,0.0,12.0,1,706,12,0,1,294.0,0.294,0.385,0,0,0,Yes
LHB-2400947,18,Male,Married,3,Bachelor's,KY,Rent,10.0,Student,0,0.0,12.0,1,604,0,1,4,1294.0,0.852,0.183,0,0,1,No
LHB-2401928,50,Male,Single,0,High School,WV,Live with Family,14.0,Salaried-Private,1,10.0,123.5,1,559,287,0,3,2035.0,0.198,0.209,0,0,0,Yes
LHB-2407482,41,Male,Single,0,Master's,AL,Live with Family,3.0,Salaried-Private,1,0.0,72.2,1,686,189,2,3,1386.0,0.23,0.6833,0,0,0,Yes
LHB-2405330,45,Male,Married,2,Associate Degree,AL,Rent,6.0,Self-Employed,1,4.0,125.8,0,701,272,0,2,1240.0,0.118,0.247,0,0,3,Yes
LHB-2406978,64,Female,Married,1,Bachelor's,MD,Own (with mortgage),2.0,Self-Employed,1,0.0,113.3,0,740,410,0,1,708.0,0.075,0.351,0,0,2,Yes
LHB-2407445,53,Male,Single,0,Bachelor's,AL,Rent,3.0,Salaried-Government,1,2.0,80.5,1,639,349,2,3,1576.0,0.235,0.182,0,0,4,Yes
LHB-2405236,29,Male,Divorced,1,Associate Degree,DC,Live with Family,4.0,Salaried-Private,1,0.0,45.4,1,615,116,1,2,1522.0,0.402,0.363,0,0,6,No
LHB-2402219,22,Male,Single,0,Doctorate,TX,Own (outright),4.0,Student,0,0.0,18.1,1,342,23,1,3,974.0,0.852,0.639,1,1,0,No
LHB-2402092,42,Female,Married,1,Associate Degree,TX,Own (with mortgage),5.0,Salaried-Private,1,3.0,49.8,1,590,252,0,1,528.0,0.127,0.017,0,0,4,Yes
LHB-2400904,33,Female,Widowed,3,High School,SC,Own (with mortgage),1.0,Salaried-Government,1,1.0,57.1,1,715,161,2,3,1294.0,0.272,0.219,0,0,1,Yes
LHB-2400083,35,Female,Married,5,Master's,MS,Own (with mortgage),5.0,Salaried-Private,1,5.0,109.5,1,569,134,2,2,1684.0,0.185,0.207,1,0,2,No
LHB-2402573,42,Female,Married,1,Master's,OH,Own (with mortgage),2.0,Salaried-Private,1,1.0,67.9,1,663,182,1,2,951.0,0.168,0.26,0,0,3,Yes
LHB-2405632,18,Female,Single,1,Associate Degree,DE,Own (with mortgage),12.0,Unemployed,0,0.0,12.0,1,575,3,2,4,1766.0,0.852,0.6833,1,0,3,No
LHB-2404585,46,Male,Married,2,High School,NC,Live with Family,4.0,Salaried-Private,1,11.0,46.2,1,614,252,1,1,629.0,0.163,0.505,0,0,2,Yes
LHB-2404642,51,Male,Married,0,High School,TX,Rent,8.0,Salaried-Private,1,2.0,51.1,1,636,261,3,3,1993.0,0.468,0.592,0,0,1,No
LHB-2402768,50,Female,Single,0,High School,TX,Rent,7.0,Contract,1,0.0,32.4,1,685,289,2,3,1558.0,0.577,0.191,0,0,1,Yes
LHB-2404657,41,Male,Married,0,Bachelor's,TN,Own (with mortgage),1.0,Self-Employed,1,3.0,113.2,0,569,140,0,2,1635.0,0.173,0.301,0,0,1,No
LHB-2402413,23,Female,Widowed,1,High School,KY,Own (with mortgage),4.0,Salaried-Private,1,1.0,61.8,1,361,49,0,2,961.0,0.187,0.209,1,0,1,No
LHB-2407343,41,Female,Divorced,0,High School,TX,Rent,8.0,Salaried-Government,1,4.0,40.4,1,592,237,2,1,1507.0,0.448,0.57,0,0,1,No
LHB-2401523,38,Female,Single,0,Master's,GA,Rent,8.0,Salaried-Private,1,1.0,95.3,1,560,172,0,2,923.0,0.116,0.333,0,0,2,No
LHB-2405445,32,Male,Married,1,Master's,VA,Rent,4.0,Salaried-Private,1,0.0,108.4,1,592,122,0,2,1288.0,0.143,0.299,0,0,1,No
LHB-2401388,44,Female,Single,0,High School,VA,Rent,13.0,Self-Employed,1,4.0,66.7,0,625,250,3,1,2041.0,0.367,0.375,0,0,1,No
LHB-2401023,47,Female,Single,0,Bachelor's,FL,Own (with mortgage),2.0,Salaried-Private,1,4.0,51.6,1,642,264,0,3,414.0,0.096,0.226,0,0,3,Yes
LHB-2401625,54,Female,Married,3,Bachelor's,MD,Own (with mortgage),6.0,Salaried-Government,1,2.0,100.9,1,644,340,0,1,306.0,0.036,0.519,0,0,0,Yes
LHB-2407265,45,Female,Single,0,High School,VA,Own (with mortgage),2.0,Salaried-Private,1,0.0,40.4,1,620,235,1,3,1162.0,0.345,0.392,0,0,0,Yes
LHB-2403416,41,Female,Married,1,Bachelor's,ND,Own (with mortgage),7.0,Salaried-Private,1,0.0,89.6,1,614,204,1,6,1330.0,0.178,0.445,0,0,1,Yes
LHB-2401146,46,Male,Single,0,High School,PA,Own (with mortgage),2.0,Salaried-Private,1,2.0,84.7,1,649,250,1,4,1309.0,0.185,0.139,1,0,0,Yes
LHB-2400678,45,Female,Widowed,1,High School,UT,Own (with mortgage),3.0,Salaried-Private,1,13.0,74.6,1,783,275,2,1,1147.0,0.185,0.25,0,0,1,Yes
LHB-2404970,38,Female,Married,0,Associate Degree,MS,Rent,2.0,Salaried-Private,1,3.0,71.5,1,592,213,1,2,1190.0,0.2,0.042,0,0,0,Yes
LHB-2405133,24,Male,Married,1,Bachelor's,TX,Own (outright),9.0,Salaried-Private,1,0.0,52.5,0,613,28,2,1,1361.0,0.311,0.277,0,0,0,No
LHB-2407916,32,Female,Single,1,Bachelor's,SC,Rent,7.0,Salaried-Government,1,0.0,86.9,1,647,115,1,1,716.0,0.099,0.385,0,0,2,Yes
LHB-2407983,30,Male,Widowed,0,Bachelor's,GA,Rent,22.0,Salaried-Private,1,5.0,141.7,1,602,95,1,2,2110.0,0.179,0.525,0,0,0,Yes
LHB-2404754,61,Female,Single,1,Bachelor's,PA,Own (with mortgage),3.0,Self-Employed,1,0.0,123.0,0,723,416,2,0,661.0,0.064,0.342,0,0,1,Yes
LHB-2402625,38,Female,Single,0,High School,KY,Rent,7.0,Salaried-Private,1,3.0,35.4,1,584,177,0,2,622.0,0.211,0.558,0,0,2,No
LHB-2403594,35,Male,Married,2,High School,FL,Own (with mortgage),3.0,Salaried-Government,1,3.0,29.9,1,491,147,5,3,1168.0,0.469,0.25,0,0,6,No
LHB-2401668,43,Female,Married,2,Doctorate,LA,Own (with mortgage),7.0,Salaried-Private,1,0.0,70.4,1,624,256,0,4,1606.0,0.242,0.228,0,0,1,Yes
LHB-2407389,39,Female,Single,0,Associate Degree,MN,Rent,3.0,Contract,1,10.0,40.2,1,664,223,1,4,1504.0,0.449,0.302,0,0,1,No
LHB-2402244,46,Male,Single,0,Associate Degree,WV,Rent,7.0,Salaried-Private,1,2.0,64.2,1,599,240,0,4,1039.0,0.194,0.394,0,0,4,No
LHB-2403145,44,Female,Married,3,Bachelor's,TX,Own (with mortgage),3.0,Salaried-Government,1,9.0,96.5,1,519,244,2,4,2755.0,0.343,0.228,0,1,3,No
LHB-2401514,20,Female,Married,3,Bachelor's,FL,Own (with mortgage),1.0,Student,0,0.0,12.0,1,635,0,1,5,943.0,0.852,0.152,0,0,0,No
LHB-2407158,42,Female,Single,0,Bachelor's,OR,Own (with mortgage),10.0,Salaried-Private,1,5.0,67.5,1,718,251,3,1,1905.0,0.339,0.485,0,0,2,Yes
LHB-2400377,18,Female,Married,5,Master's,WI,Own (with mortgage),3.0,Student,0,0.0,12.0,1,518,25,1,4,1115.0,0.852,0.362,0,0,0,No
LHB-2401555,32,Female,Married,0,Bachelor's,MS,Own (outright),16.0,Salaried-Government,1,5.0,65.5,0,681,94,2,1,1748.0,0.32,0.591,0,0,4,Yes
LHB-2406321,37,Female,Married,3,High School,AR,Own (with mortgage),6.0,Contract,1,2.0,45.2,1,498,164,0,1,494.0,0.131,0.345,1,0,0,No
LHB-2402345,28,Female,Married,3,High School,WV,Rent,8.0,Salaried-Private,1,6.0,30.2,1,522,60,1,5,1159.0,0.461,0.53,0,0,1,No
LHB-2404156,44,Male,Married,2,Bachelor's,NC,Own (with mortgage),4.0,Salaried-Private,1,13.0,78.2,1,640,214,0,5,967.0,0.148,0.233,0,0,0,Yes
LHB-2406262,36,Male,Single,0,Bachelor's,NC,Own (with mortgage),16.0,Salaried-Private,1,1.0,85.0,1,678,166,0,1,846.0,0.119,0.316,0,0,5,Yes
LHB-2405788,31,Female,Married,2,High School,DC,Own (with mortgage),2.0,Salaried-Government,1,0.0,59.9,1,621,110,1,4,992.0,0.199,0.599,1,0,1,No
